Board Number,Inversions,Algorithm,Solved,Total States Viewed,Processing Time
1,4,IDDFS,True,59,0.001952
1,4,BFS,True,59,0.002591
1,4,ASMAN,True,13,0.001001
1,4,ASEUC,True,20,0.001508
1,4,ASCHEB,True,22,0.0
1,4,ASLINCON,True,13,0.001401
2,6,IDDFS,True,35558,0.931877
2,6,BFS,True,35558,1.679062
2,6,ASMAN,True,110,0.001991
2,6,ASEUC,True,401,0.015392
2,6,ASCHEB,True,517,0.018881
2,6,ASLINCON,True,75,0.003012
3,4,IDDFS,True,59,0.001975
3,4,BFS,True,59,0.001961
3,4,ASMAN,True,13,0.0
3,4,ASEUC,True,20,0.001002
3,4,ASCHEB,True,22,0.0
3,4,ASLINCON,True,11,0.0
4,2,IDDFS,True,2,0.0
4,2,BFS,True,2,0.0
4,2,ASMAN,True,2,0.0
4,2,ASEUC,True,2,0.0
4,2,ASCHEB,True,2,0.0
4,2,ASLINCON,True,2,0.0
5,6,IDDFS,True,1690,0.048396
5,6,BFS,True,1690,0.070498
5,6,ASMAN,True,45,0.001966
5,6,ASEUC,True,108,0.003955
5,6,ASCHEB,True,144,0.004164
5,6,ASLINCON,True,43,0.002003
6,10,IDDFS,True,11462,0.302816
6,10,BFS,True,11462,0.494708
6,10,ASMAN,True,73,0.002254
6,10,ASEUC,True,293,0.010208
6,10,ASCHEB,True,382,0.012994
6,10,ASLINCON,True,96,0.002994
7,4,IDDFS,True,4,0.0
7,4,BFS,True,4,0.0
7,4,ASMAN,True,4,0.0
7,4,ASEUC,True,4,0.0
7,4,ASCHEB,True,4,0.0
7,4,ASLINCON,True,4,0.0
8,2,IDDFS,True,15,0.001005
8,2,BFS,True,15,0.0
8,2,ASMAN,True,6,0.0
8,2,ASEUC,True,6,0.0
8,2,ASCHEB,True,6,0.0
8,2,ASLINCON,True,6,0.0
9,10,IDDFS,True,53091,1.401932
9,10,BFS,True,53091,2.68757
9,10,ASMAN,True,96,0.001537
9,10,ASEUC,True,520,0.019932
9,10,ASCHEB,True,690,0.0291
9,10,ASLINCON,True,112,0.002984
10,6,IDDFS,True,68,0.001959
10,6,BFS,True,68,0.002754
10,6,ASMAN,True,19,0.0
10,6,ASEUC,True,24,0.001041
10,6,ASCHEB,True,28,0.001005
10,6,ASLINCON,True,17,0.000508
11,8,IDDFS,True,230,0.006517
11,8,BFS,True,230,0.010705
11,8,ASMAN,True,29,0.001003
11,8,ASEUC,True,57,0.001062
11,8,ASCHEB,True,65,0.002005
11,8,ASLINCON,True,29,0.001207
12,8,IDDFS,True,316,0.009738
12,8,BFS,True,316,0.013182
12,8,ASMAN,True,24,0.000507
12,8,ASEUC,True,52,0.001186
12,8,ASCHEB,True,68,0.001132
12,8,ASLINCON,True,24,0.001001
13,4,IDDFS,True,12311,0.328708
13,4,BFS,True,12311,0.506163
13,4,ASMAN,True,110,0.003015
13,4,ASEUC,True,305,0.011994
13,4,ASCHEB,True,384,0.013248
13,4,ASLINCON,True,96,0.003174
14,8,IDDFS,True,1231,0.034903
14,8,BFS,True,1231,0.048783
14,8,ASMAN,True,47,0.001005
14,8,ASEUC,True,104,0.002992
14,8,ASCHEB,True,136,0.003156
14,8,ASLINCON,True,47,0.002019
15,8,IDDFS,True,2790,0.0785
15,8,BFS,True,2790,0.112331
15,8,ASMAN,True,55,0.001038
15,8,ASEUC,True,164,0.005493
15,8,ASCHEB,True,201,0.00615
15,8,ASLINCON,True,36,0.001645
16,2,IDDFS,True,29,0.001103
